Source,ID,dn (cm),gamma ((rhoS-rho)/rho); submerged specific density,Kinematic viscsity (cm^2/s),reported w (cm/s)
Briggs et al 1952 4,251,0.034,2.46,0.01,4.7
Briggs et al 1952 6,252,0.043,2.21,0.01,5.7
Briggs et al 1952 7,253,0.034,3.71,0.01,6.3
Briggs et al 1952 10,254,0.038,3.4,0.01,7.9
Briggs et al 1952 11,255,0.037,2.48,0.01,5.3
Briggs et al 1952 12,256,0.042,2.36,0.01,5.9
Briggs et al 1952 13,257,0.028,2.51,0.01,3.9
Briggs et al 1952 15,258,0.024,3.4,0.01,4.4
Briggs et al 1952 17,259,0.029,2.34,0.01,3.6
Briggs et al 1952 19,260,0.02,2.46,0.01,2.5
Briggs et al 1952 21,261,0.022,2.21,0.01,2
Briggs et al 1952 26,262,0.018,2.48,0.01,2
Briggs et al 1952 27,263,0.019,2.36,0.01,2.5
Briggs et al 1952 28,264,0.018,2.51,0.01,2
Briggs et al 1952 30,265,0.012,3.4,0.01,1.9
Smith and Cheung 2003 1,266,0.042,1.6,0.0104,5.2
Smith and Cheung 2003 2,267,0.048,1.6,0.01,4.8
Smith and Cheung 2003 3,268,0.051,1.6,0.01,5.7
Smith and Cheung 2003 4,269,0.059,1.6,0.01,7.3
Smith and Cheung 2003 5,270,0.07,1.6,0.0101,8.2
Smith and Cheung 2003 6,271,0.08,1.6,0.01,10.2
Smith and Cheung 2003 7,272,0.101,1.6,0.0099,11.4
Smith and Cheung 2003 8,273,0.128,1.6,0.0099,16.4
Smith and Cheung 2003 9,274,0.137,1.6,0.01,16.2
Smith and Cheung 2003 10,275,0.148,1.6,0.01,16.8
Smith and Cheung 2003 11,276,0.148,1.6,0.01,14.2
Smith and Cheung 2003 12,277,0.182,1.6,0.01,15.6
Smith and Cheung 2003 13,278,0.192,1.6,0.01,21.3
Smith and Cheung 2003 14,279,0.198,1.6,0.01,16.9
Smith and Cheung 2003 15,280,0.202,1.6,0.01,20.2
Smith and Cheung 2003 16,281,0.202,1.6,0.01,21.4
Smith and Cheung 2003 17,282,0.248,1.6,0.01,20.7
Smith and Cheung 2003 18,283,0.249,1.6,0.01,21.5
Smith and Cheung 2003 19,284,0.407,1.6,0.01,18.4
Smith and Cheung 2003 20,285,0.553,1.6,0.01,18
Smith and Cheung 2003 21,286,0.626,1.6,0.01,31.6
Smith and Cheung 2003 22,287,0.691,1.6,0.01,29
Cheng 1997 1,288,0.0001,1.65,0.0114,0.0001
Cheng 1997 2,289,0.0005,1.65,0.0114,0.0014
Cheng 1997 3,290,0.001,1.65,0.0114,0.0057
Cheng 1997 4,291,0.002,1.65,0.0114,0.0223
Cheng 1997 5,292,0.005,1.65,0.0114,0.141
Cheng 1997 6,293,0.0061,1.65,0.0114,0.235
Cheng 1997 7,294,0.0069,1.65,0.0114,0.292
Cheng 1997 8,295,0.008,1.65,0.0114,0.34
Cheng 1997 9,296,0.0094,1.65,0.0114,0.406
Cheng 1997 10,297,0.01,1.65,0.0114,0.515
Cheng 1997 11,298,0.0123,1.65,0.0114,0.775
Cheng 1997 12,299,0.015,1.65,0.0114,1.14
Cheng 1997 13,300,0.02,1.65,0.0114,1.7
Cheng 1997 14,301,0.0225,1.65,0.0114,1.73
Cheng 1997 15,302,0.025,1.65,0.0114,2.29
Cheng 1997 16,303,0.0275,1.65,0.0114,2.99
Cheng 1997 17,304,0.03,1.65,0.0114,3.21
Cheng 1997 18,305,0.0325,1.65,0.0114,3.08
Cheng 1997 19,306,0.0375,1.65,0.0114,4.18
Cheng 1997 20,307,0.04,1.65,0.0114,4.61
Cheng 1997 21,308,0.05,1.65,0.0114,5.67
Cheng 1997 22,309,0.05,1.65,0.0114,6.2
Cheng 1997 23,310,0.0556,1.65,0.0106,8.46
Cheng 1997 24,311,0.0556,1.65,0.014,7.82
Cheng 1997 25,312,0.06,1.65,0.0114,7.28
Cheng 1997 26,313,0.07,1.65,0.0114,8.04
Cheng 1997 27,314,0.075,1.65,0.0114,8.58
Cheng 1997 28,315,0.0775,1.65,0.0114,10.09
Cheng 1997 29,316,0.085,1.65,0.0137,10.85
Cheng 1997 30,317,0.1,1.65,0.0114,11.15
Cheng 1997 31,318,0.1,1.65,0.0114,12.17
Cheng 1997 32,319,0.15,1.65,0.0124,15
Cheng 1997 33,320,0.15,1.65,0.0131,15.62
Cheng 1997 34,321,0.2,1.65,0.0114,19.25
Cheng 1997 35,322,0.25,1.65,0.0106,20.7
Cheng 1997 36,323,0.25,1.65,0.0114,21.6
Cheng 1997 37,324,0.25,1.65,0.0124,20.8
Cheng 1997 38,325,0.25,1.65,0.0066,20.1
Cheng 1997 39,326,0.3,1.65,0.0114,23
Cheng 1997 40,327,0.35,1.65,0.0104,25
Cheng 1997 41,328,0.35,1.65,0.0114,25.38
Cheng 1997 42,329,0.35,1.65,0.014,25.9
Cheng 1997 43,330,0.45,1.65,0.0137,28.1
Komar and Reiners 1,331,1.2042,2.4934,9,5.08
Komar and Reiners 2,332,1.1914,2.0952,9,4.978
Komar and Reiners 3,333,1.2748,2.3517,9,6.401
Komar and Reiners 4,334,1.1752,2.1622,9,5.613
Komar and Reiners 5,335,1.6899,1.7688,9,8.509
Komar and Reiners 6,336,1.2948,2.6281,9,5.944
Komar and Reiners 7,337,1.3206,2.3094,9,6.375
Komar and Reiners 8,338,1.2792,2.6218,9,6.426
Komar and Reiners 9,339,1.4327,1.9925,9,6.452
Komar and Reiners 10,340,1.0652,2.5265,9,4.572
Komar and Reiners 11,341,1.4718,2.248,9,8.331
Komar and Reiners 12,342,1.2602,1.8626,9,5.232
Komar and Reiners 13,343,1.0279,1.9259,9,3.531
Komar and Reiners 14,344,0.6782,2.502,9,1.981
Komar and Reiners 15,345,0.7453,1.9254,9,2.134
Komar and Reiners 16,346,0.7861,2.3971,9,2.743
Komar and Reiners 18,347,1.1319,2.271,9,4.267
Komar and Reiners 20,348,1.0106,2.3547,9,4.394
Komar and Reiners 21,349,0.8436,2.8047,9,2.896
Komar and Reiners 22,350,0.6449,2.6317,9,1.905
Komar and Reiners 23,351,0.8278,2.4041,9,2.794
Komar and Reiners 24,352,1.0226,2.3467,9,3.988
Komar and Reiners 25,353,0.6773,2.375,9,1.981
Komar and Reiners 26,354,1.0777,1.8701,9,4.14
Komar and Reiners 27,355,0.6844,2.4313,9,2.083
Komar and Reiners 28,356,0.8017,2.2623,9,2.819
Komar and Reiners 29,357,0.9216,2.7205,9,3.556
Komar and Reiners 30,358,0.7281,2.7846,9,2.362
Komar and Reiners 31,359,0.8831,1.8844,9,2.946
Komar and Reiners 32,360,0.9574,2.5454,9,3.683
Komar and Reiners 33,361,0.8883,2.4907,9,3.378
Komar and Reiners 34,362,1.7376,2.2189,9,9.804
Komar and Reiners 35,363,1.5603,2.3768,9,8.331
Komar and Reiners 36,364,1.196,2.2688,9,5.461
Komar and Reiners 37,365,0.9741,1.9544,9,3.861
Komar and Reiners 38,366,1.3086,2.5035,9,6.325
Komar and Reiners 40,367,0.9711,2.4643,9,3.937
Komar and Reiners 41,368,1.0755,2.4324,9,4.75
Komar and Reiners 42,369,1.2499,2.2969,9,6.401
Komar and Reiners 43,370,1.1648,2.4519,9,5.817
Komar and Reiners 44,371,1.1808,2.3301,9,5.283
Komar and Reiners 45,372,1.1273,2.3106,9,5.156
Komar and Reiners 46,373,1.0015,2.0094,9,3.15
Komar and Reiners 48,374,1.0692,2.1405,9,4.775
Komar and Reiners 49,375,0.7951,2.2606,9,2.718
Komar and Reiners 50,376,1.3811,2.2582,9,7.645
Komar and Reiners 51,377,0.8891,2.4022,9,3.48
Komar and Reiners 52,378,1.1739,1.7792,9,4.97
Komar and Reiners 53,379,1.8616,2.2332,9,12.395
Komar and Reiners 54,380,0.7181,2.3015,9,2.337
Komar and Reiners 55,381,0.7341,2.2586,9,2.54
Corey 1,382,0.685,1.65,0.012,29.781
Corey 2,383,0.508,1.65,0.012,33.7795
Corey 3,384,0.7,1.65,0.012,39.6
Corey 4,385,0.66,1.65,0.012,40.3636
Corey 5,386,0.501,1.65,0.012,30.1796
Corey 6,387,0.707,1.65,0.012,26.4781
Corey 7,388,0.683,1.65,0.012,36.369
Corey 8,389,0.532,1.65,0.012,38.3459
Corey 9,390,0.654,1.65,0.012,41.8349
Corey 10,391,0.473,1.65,0.012,25.1163
Corey 11,392,0.404,1.65,0.012,31.4851
Corey 12,393,0.382,1.65,0.012,29.0576
Corey 13,394,0.358,1.65,0.012,27.1508
Corey 14,395,0.405,1.65,0.012,27.2593
Corey 15,396,0.338,1.65,0.012,31.0651
Corey 16,397,0.468,1.65,0.012,32.8205
Corey 17,398,0.41,1.65,0.012,27.9805
Corey 18,399,0.443,1.65,0.012,36.0271
Corey 19,400,0.439,1.65,0.012,29.795
Corey 20,401,0.259,1.65,0.012,25.3436
Corey 21,402,0.253,1.65,0.012,29.0277
Corey 22,403,0.232,1.65,0.012,27.6207
Corey 23,404,0.304,1.65,0.012,23.7237
Corey 24,405,0.246,1.65,0.012,22.6829
Corey 25,406,0.251,1.65,0.012,22.3267
Corey 26,407,0.225,1.65,0.012,19.3067
Corey 27,408,0.233,1.65,0.012,23.279
Corey 28,409,0.257,1.65,0.012,24.3268
Corey 29,410,0.238,1.65,0.012,22.9412
Corey 30,411,0.215,1.65,0.012,24
Corey 31,412,0.209,1.65,0.012,20.6699
Corey 33,413,0.206,1.65,0.012,16.0194
Corey 34,414,0.212,1.65,0.012,18.1132
Corey 35,415,0.21,1.65,0.012,21.4286
Corey 36,416,0.229,1.65,0.012,22.5328
Corey 38,417,0.22,1.65,0.012,21.2727
Corey 39,418,0.217,1.65,0.012,22.1198
Corey 40,419,0.209,1.65,0.012,24.1148
Corey 41,420,0.182,1.65,0.012,19.1209
Corey 43,421,0.19,1.65,0.012,21.7895
Corey 44,422,0.204,1.65,0.012,19.4118
Corey 45,423,0.191,1.65,0.012,19.6649
Corey 46,424,0.208,1.65,0.012,24.8077
Corey 47,425,0.193,1.65,0.012,19.0259
Corey 48,426,0.183,1.65,0.012,21.377
Corey 49,427,0.164,1.65,0.012,19.7561
Shultz 1,428,0.09,1.65,0.011,11.08
Shultz 2,429,0.103,1.65,0.011,11.72
